import time: self [us] | cumulative | imported package
import time:       102 |        102 |               email.iterators
import time:       508 |       6935 |             email.message
import time:       164 |        164 |               importlib.metadata._functools
import time:       124 |        287 |             importlib.metadata._text
import time:       220 |       7442 |           importlib.metadata._adapters
import time:       250 |        250 |           importlib.metadata._meta
import time:       209 |        209 |           importlib.metadata._collections
import time:       100 |        100 |           importlib.metadata._itertools
import time:       252 |        252 |                   importlib.resources.abc
import time:       312 |        312 |                   importlib.resources._adapters
import time:       208 |        771 |                 importlib.resources._common
import time:       152 |        152 |                 importlib.resources._legacy
import time:       115 |       1036 |               importlib.resources
import time:        13 |       1049 |             importlib.resources.abc
import time:       321 |       1369 |           importlib.abc
import time:      1156 |      12136 |         importlib.metadata
import time:       314 |        314 |         readline
import time:     21882 |     254037 |       cyclopts.core
import time:     22673 |      22673 |           cyclopts.validators._group
import time:     19196 |      19196 |           cyclopts.validators._number
import time:     17627 |      17627 |           cyclopts.validators._path
import time:     30004 |      89499 |         cyclopts.validators
import time:     36134 |     125632 |       cyclopts.types
import time:     25669 |    1066119 |     cyclopts
import time:     20784 |    1091646 |   endo_pipeline.cli.datasets
import time:     27874 |    1145544 | endo_pipeline.cli
import time:     27417 |      27417 |   endo_pipeline.settings.diffae_configs
import time:     24083 |      24083 |   endo_pipeline.settings.diffae_feature_dataframes
import time:     17674 |      17674 |   endo_pipeline.settings.examples
import time:     18698 |      18698 |   endo_pipeline.settings.image_data
import time:     28751 |      28751 |                   mashumaro.core
import time:     31905 |      60656 |                 mashumaro.core.meta
import time:       845 |        845 |                 dataclasses
import time:      1319 |       1319 |                   _hashlib
import time:        55 |         55 |                   _blake2
import time:       320 |       1693 |                 hashlib
import time:     22980 |      22980 |                 typing_extensions
import time:     20854 |      20854 |                 mashumaro.core.const
import time:       620 |        620 |                         numbers
import time:       649 |       1268 |                       _decimal
import time:       211 |       1479 |                     decimal
import time:     19589 |      21067 |                   mashumaro.types
import time:     20130 |      41197 |                 mashumaro.dialect
import time:     28455 |     176676 |               mashumaro.core.meta.helpers
import time:     21593 |     198269 |             mashumaro.exceptions
import time:     19484 |      19484 |             mashumaro.helper
import time:     24654 |      24654 |               mashumaro.mixins
import time:     28310 |      28310 |                   mashumaro.core.meta.code
import time:        61 |         61 |                     _uuid
import time:       761 |        821 |                   uuid
