import time: self [us] | cumulative | imported package
import time:     13399 |      13399 |             pandas._libs.tslib
import time:     18712 |      18712 |               pandas.core.array_algos.datetimelike_accumulations
import time:     23977 |      42689 |             pandas.core.arrays.datetimelike
import time:     18845 |      18845 |             pandas.core.arrays._ranges
import time:     16988 |      16988 |             pandas.tseries.offsets
import time:     18789 |     110707 |           pandas.core.arrays.datetimes
import time:     30867 |      30867 |             pandas.core.arrays.timedeltas
import time:     24284 |      55151 |           pandas.core.arrays.interval
import time:     19386 |      19386 |           pandas.core.arrays.period
import time:     10715 |      10715 |                 pandas._libs.sparse
import time:     18362 |      18362 |                 pandas.io.formats.printing
import time:     22037 |      51114 |               pandas.core.arrays.sparse.array
import time:     22533 |      73646 |             pandas.core.arrays.sparse.accessor
import time:     26469 |     100115 |           pandas.core.arrays.sparse
import time:     18111 |      18111 |             pandas.core.arrays.arrow._arrow_utils
import time:     19387 |      37498 |           pandas.core.arrays.string_arrow
import time:     30398 |    1631812 |         pandas.core.arrays
import time:     19353 |      19353 |         pandas.core.flags
import time:       253 |        253 |                 backports_abc
import time:     12377 |      12629 |               pandas._libs.internals
import time:     25076 |      25076 |                 pandas.core._numba
import time:     33216 |      58291 |               pandas.core._numba.executor
import time:     30536 |     101456 |             pandas.core.apply
import time:        84 |         84 |                       _json
import time:       532 |        616 |                     json.scanner
import time:       501 |       1117 |                   json.decoder
import time:       385 |        385 |                   json.encoder
import time:       378 |       1880 |                 json
import time:     10529 |      10529 |                   pandas._libs.indexing
import time:     27351 |      27351 |                     pandas.core.indexes
import time:       128 |        128 |                         backports_abc
import time:     10642 |      10769 |                       pandas._libs.index
import time:      8316 |       8316 |                       pandas._libs.writers
import time:      9767 |       9767 |                       pandas._libs.join
import time:     21851 |      21851 |                       pandas.core.array_algos.putmask
import time:     17050 |      17050 |                       pandas.core.indexes.frozen
import time:     36706 |      36706 |                       pandas.core.strings.accessor
import time:     20348 |     124805 |                     pandas.core.indexes.base
import time:     19504 |      19504 |                       pandas.core.indexes.extension
import time:     19271 |      38774 |                     pandas.core.indexes.category
import time:     19704 |      19704 |                         pandas.core.indexes.range
import time:     23896 |      23896 |                           pandas.core.tools
import time:     25566 |      49461 |                         pandas.core.tools.timedeltas
import time:     20599 |      89763 |                       pandas.core.indexes.datetimelike
import time:     17054 |      17054 |                       pandas.core.tools.times
import time:     19727 |     126544 |                     pandas.core.indexes.datetimes
import time:     17118 |      17118 |                       pandas.core.indexes.multi
import time:     17637 |      17637 |                       pandas.core.indexes.timedeltas
import time:     22980 |      57734 |                     pandas.core.indexes.interval
import time:     23991 |      23991 |                     pandas.core.indexes.period
import time:     22122 |     421318 |                   pandas.core.indexes.api
import time:     23885 |     455730 |                 pandas.core.indexing
import time:     19962 |      19962 |                 pandas.core.sample
import time:     16695 |      16695 |                 pandas.core.array_algos.replace
import time:     20119 |      20119 |                     pandas.core.internals.blocks
import time:     22541 |      42659 |                   pandas.core.internals.api
import time:     23405 |      23405 |                     pandas.core.internals.base
import time:     17647 |      17647 |                       pandas.core.internals.ops
import time:     18011 |      35658 |                     pandas.core.internals.managers
import time:     19690 |      78752 |                   pandas.core.internals.array_manager
import time:     17292 |      17292 |                   pandas.core.internals.concat
import time:     24944 |     163645 |                 pandas.core.internals
import time:     21485 |      21485 |                 pandas.core.internals.construction
import time:     23310 |      23310 |                   pandas.core.methods
import time:     26251 |      26251 |                     pandas.core.reshape
import time:     24892 |      51142 |                   pandas.core.reshape.concat
import time:       367 |        367 |                       gzip
import time:        80 |         80 |                       mmap
import time:        47 |         47 |                         pwd
import time:        38 |         38 |                         grp
import time:      1046 |       1130 |                       tarfile
import time:     17027 |      17027 |                       pandas.core.shared_docs
import time:     18839 |      37441 |                     pandas.io.common
import time:     19915 |      57355 |                   pandas.io.formats.format
import time:     21835 |     153641 |                 pandas.core.methods.describe
import time:     22522 |      22522 |                       pandas._libs.window
import time:     11440 |      33961 |                     pandas._libs.window.aggregations
import time:      9255 |       9255 |                       pandas._libs.window.indexers
import time:     19300 |      28555 |                     pandas.core.indexers.objects
import time:     19399 |      19399 |                     pandas.core.util.numba_
import time:     18187 |      18187 |                     pandas.core.window.common
import time:     18608 |      18608 |                     pandas.core.window.doc
import time:     18839 |      18839 |                     pandas.core.window.numba_
import time:     19371 |      19371 |                     pandas.core.window.online
import time:     18957 |      18957 |                     pandas.core.window.rolling
import time:     19452 |     195325 |                   pandas.core.window.ewm
import time:     18750 |      18750 |                   pandas.core.window.expanding
import time:     22349 |     236424 |                 pandas.core.window
import time:     24817 |    1094275 |               pandas.core.generic
import time:     18852 |      18852 |               pandas.core.methods.selectn
import time:     17198 |      17198 |                 pandas.core.reshape.util
import time:     16659 |      16659 |                 pandas.core.tools.numeric
import time:     17741 |      51598 |               pandas.core.reshape.melt
import time:      8774 |       8774 |                 pandas._libs.reshape
import time:     20039 |      20039 |                 pandas.core.indexes.accessors
import time:     25454 |      25454 |                   pandas.arrays
import time:     17144 |      42597 |                 pandas.core.tools.datetimes
import time:     16010 |      16010 |                 pandas.io.formats.info
import time:     25516 |      25516 |                   pandas.plotting._core
import time:     22019 |      22019 |                   pandas.plotting._misc
import time:     23468 |      71002 |                 pandas.plotting
import time:     22374 |     180795 |               pandas.core.series
import time:     26825 |    1372343 |             pandas.core.frame
import time:     26186 |      26186 |             pandas.core.groupby.base
import time:        93 |         93 |                 backports_abc
import time:     10402 |      10495 |               pandas._libs.groupby
import time:     17607 |      17607 |                 pandas.core.groupby.categorical
import time:     19453 |      37059 |               pandas.core.groupby.grouper
import time:     22809 |      70361 |             pandas.core.groupby.ops
import time:     24933 |      24933 |               pandas.core.groupby.numba_
import time:     22797 |      22797 |               pandas.core.groupby.indexing
import time:     23575 |      71304 |             pandas.core.groupby.groupby
import time:     25450 |    1667097 |           pandas.core.groupby.generic
import time:     29471 |    1696567 |         pandas.core.groupby
import time:     17882 |    4440100 |       pandas.core.api
import time:     22240 |      22240 |       pandas.tseries.api
import time:     22369 |      22369 |               pandas.core.computation.common
import time:     27413 |      49781 |             pandas.core.computation.align
import time:       705 |        705 |                 pprint
import time:     30514 |      31218 |               pandas.core.computation.scope
import time:     27636 |      58853 |             pandas.core.computation.ops
import time:     28271 |     136905 |           pandas.core.computation.engines
import time:     18590 |      18590 |             pandas.core.computation.parsing
import time:     24408 |      42997 |           pandas.core.computation.expr
import time:     15788 |     195690 |         pandas.core.computation.eval
import time:     18396 |     214085 |       pandas.core.computation.api
import time:     19729 |      19729 |         pandas.core.reshape.encoding
import time:     20789 |      20789 |         pandas.core.reshape.merge
import time:     26370 |      26370 |         pandas.core.reshape.pivot
import time:     20148 |      20148 |         pandas.core.reshape.tile
import time:     26979 |     114012 |       pandas.core.reshape.api
import time:     36098 |      36098 |         pandas.api.extensions
import time:     32372 |      32372 |         pandas.api.indexers
import time:     32678 |      32678 |             pandas.core.interchange
import time:     23412 |      56089 |           pandas.core.interchange.dataframe_protocol
import time:     24296 |      24296 |             pandas.core.interchange.utils
import time:     18977 |      43272 |           pandas.core.interchange.from_dataframe
import time:     38176 |     137535 |         pandas.api.interchange
import time:     20130 |      20130 |           pandas.core.dtypes.api
import time:     28470 |      48599 |         pandas.api.types
import time:     22731 |      22731 |           pandas.core.resample
import time:      9977 |       9977 |                 pandas._libs.json
import time:     20098 |      20098 |                 pandas.io.json._normalize
import time:     18051 |      18051 |                 pandas.io.json._table_schema
import time:       170 |        170 |                         backports_abc
import time:      9909 |      10078 |                       pandas._libs.parsers
import time:     21253 |      21253 |                         pandas.io.parsers.base_parser
import time:     23023 |      44275 |                       pandas.io.parsers.arrow_parser_wrapper
import time:     18697 |      18697 |                       pandas.io.parsers.c_parser_wrapper
import time:     19192 |      19192 |                       pandas.io.parsers.python_parser
import time:     22945 |     115186 |                     pandas.io.parsers.readers
import time:     33167 |     148353 |                   pandas.io.parsers
import time:        28 |     148380 |                 pandas.io.parsers.readers
import time:     22287 |     218790 |               pandas.io.json._json
import time:     26067 |     244856 |             pandas.io.json
import time:        22 |     244878 |           pandas.io.json._json
import time:     18321 |      18321 |           pandas.io.stata
import time:     22454 |     308382 |         pandas.api.typing
import time:     22865 |     585848 |       pandas.api
import time:     16835 |      16835 |             pandas._testing.contexts
import time:     19917 |      36751 |           pandas._testing._io
import time:     18076 |      18076 |           pandas._testing._warnings
import time:       135 |        135 |               cmath
import time:     14080 |      14215 |             pandas._libs.testing
import time:     18657 |      32871 |           pandas._testing.asserters
import time:     20664 |      20664 |           pandas._testing.compat
import time:     26616 |     134976 |         pandas._testing
import time:     18249 |     153225 |       pandas.testing
import time:     21101 |      21101 |       pandas.util._print_versions
import time:     23544 |      23544 |         pandas.io.clipboards
import time:     18662 |      18662 |             pandas.io.excel._util
import time:     19233 |      19233 |             pandas.io.excel._calamine
import time:     23550 |      23550 |             pandas.io.excel._odfreader
import time:     17955 |      17955 |             pandas.io.excel._openpyxl
import time:     27754 |      27754 |             pandas.io.excel._pyxlsb
import time:     19689 |      19689 |             pandas.io.excel._xlrd
import time:     22272 |     149113 |           pandas.io.excel._base
import time:     20634 |      20634 |           pandas.io.excel._odswriter
import time:     39539 |      39539 |           pandas.io.excel._xlsxwriter
import time:     24993 |     234276 |         pandas.io.excel
import time:     26910 |      26910 |         pandas.io.feather_format
import time:     21720 |      21720 |         pandas.io.gbq
import time:     19120 |      19120 |         pandas.io.html
import time:     24681 |      24681 |         pandas.io.orc
import time:     33510 |      33510 |         pandas.io.parquet
import time:     23683 |      23683 |           pandas.compat.pickle_compat
import time:     27870 |      51552 |         pandas.io.pickle
import time:     25728 |      25728 |           pandas.core.computation.pytables
import time:     20157 |      45885 |         pandas.io.pytables
import time:     24630 |      24630 |           pandas.io.sas.sasreader
import time:     28976 |      53606 |         pandas.io.sas
import time:     21605 |      21605 |         pandas.io.spss
import time:     25466 |      25466 |         pandas.io.sql
import time:     18328 |      18328 |         pandas.io.xml
import time:     23551 |     623746 |       pandas.io.api
import time:     23210 |      23210 |       pandas.util._tester
import time:     15886 |      15886 |       pandas._version_meson
import time:     24452 |    7022732 |     pandas
import time:     17603 |      17603 |                     smmap.util
import time:     21656 |      39259 |                   smmap.mman
import time:     19789 |      19789 |                   smmap.buf
import time:     22694 |      81740 |                 smmap
import time:     18673 |      18673 |                 gitdb.const
import time:     21518 |     121931 |               gitdb.util
import time:     23288 |      23288 |                   gitdb.utils
import time:     24426 |      47714 |                 gitdb.utils.encoding
import time:     18971 |      18971 |                 gitdb.typ
import time:       131 |        131 |                   gitdb_speedups
import time:       131 |        261 |                 gitdb_speedups._perf
import time:     19655 |      86599 |               gitdb.fun
import time:     25283 |     233811 |             gitdb.base
import time:     22738 |      22738 |                 gitdb.exc
import time:     21633 |      44370 |               gitdb.db.base
import time:       122 |        122 |                     gitdb_speedups
import time:        37 |        159 |                   gitdb_speedups._perf
import time:     16861 |      17019 |                 gitdb.stream
import time:     17399 |      34418 |               gitdb.db.loose
import time:     30309 |      30309 |               gitdb.db.mem
import time:       120 |        120 |                     gitdb_speedups
import time:        36 |        156 |                   gitdb_speedups._perf
import time:     20964 |      21119 |                 gitdb.pack
import time:       481 |        481 |                 glob
import time:     18481 |      40080 |               gitdb.db.pack
import time:     20000 |      20000 |                 gitdb.db.ref
import time:     17343 |      37343 |               gitdb.db.git
import time:     23986 |     210503 |             gitdb.db
import time:     30859 |     475172 |           gitdb
import time:        23 |     475194 |         gitdb.util
import time:     21265 |      21265 |           git.compat
import time:     19219 |      19219 |             git.types
import time:     21979 |      41197 |           git.util
import time:     22131 |      84591 |         git.exc
import time:     19079 |      19079 |         git.config
import time:     20678 |      20678 |             git.objects.util
import time:     21424 |      42101 |           git.objects.base
import time:       138 |        138 |               _winapi
import time:        69 |         69 |               winreg
import time:       839 |       1045 |             mimetypes
import time:     18480 |      19524 |           git.objects.blob
import time:     26461 |      26461 |             git.cmd
import time:     29082 |      29082 |             git.diff
import time:     23033 |      23033 |               git.objects.fun
import time:     20706 |      20706 |                     git.objects.submodule.util
import time:     24740 |      45446 |                   git.objects.submodule.base
import time:     22361 |      22361 |                   git.objects.submodule.root
import time:     27131 |      94937 |                 git.objects.submodule
import time:        21 |      94957 |               git.objects.submodule.base
import time:     22151 |     140140 |             git.objects.tree
import time:     22704 |     218385 |           git.objects.commit
import time:     22187 |      22187 |           git.objects.tag
import time:     24028 |     326223 |         git.objects
import time:     19438 |      19438 |                 git.refs.log
import time:     24393 |      43830 |               git.refs.symbolic
import time:     18820 |      62649 |             git.refs.reference
import time:     39021 |     101670 |           git.refs.head
import time:     19610 |      19610 |           git.refs.remote
import time:     19779 |      19779 |           git.refs.tag
import time:     21233 |     162291 |         git.refs
import time:     19603 |      19603 |         git.db
import time:     17127 |      17127 |                     git.index.util
import time:     17730 |      34857 |                   git.index.typ
import time:     20599 |      55455 |                 git.index.fun
import time:     23556 |      79011 |               git.index.base
import time:     27825 |     106836 |             git.index
import time:     17777 |      17777 |             git.remote
import time:     20156 |      20156 |             git.repo.fun
import time:     21903 |     166671 |           git.repo.base
import time:     22366 |     189036 |         git.repo
import time:     45817 |    1321831 |       git
import time:     28697 |      28697 |             packaging
import time:     20173 |      20173 |             packaging._structures
import time:     28704 |      77572 |           packaging.version
import time:     34370 |      34370 |             matplotlib._api.deprecation
import time:     25622 |      59991 |           matplotlib._api
import time:     16396 |      16396 |           matplotlib._version
import time:      9139 |       9139 |             matplotlib._c_internal_utils
import time:     19178 |      28316 |           matplotlib.cbook
import time:     18625 |      18625 |           matplotlib._docstring
import time:     24557 |      24557 |               matplotlib.backends.registry
import time:     34627 |      59183 |             matplotlib.backends
import time:     24444 |      24444 |                 PIL._version
import time:     26404 |      50847 |               PIL
import time:     26503 |      26503 |                 PIL.ExifTags
import time:     24322 |      24322 |                   PIL._deprecate
import time:     21811 |      46132 |                 PIL.ImageMode
import time:     28072 |      28072 |                 PIL.TiffTags
import time:     21362 |      21362 |                 PIL._binary
import time:     25023 |      25023 |                   PIL._typing
import time:     16563 |      41585 |                 PIL._util
import time:       147 |        147 |                         xml
import time:       153 |        300 |                       xml.parsers
import time:       162 |        162 |                       pyexpat
import time:       141 |        603 |                     xml.parsers.expat
import time:     23143 |      23745 |                   defusedxml.common
import time:     21259 |      45004 |                 defusedxml
import time:       161 |        161 |                     xml.etree
import time:       422 |        422 |                     xml.etree.ElementPath
import time:       126 |        126 |                     _elementtree
import time:       845 |       1552 |                   xml.etree.ElementTree
import time:         5 |          5 |                   _elementtree
import time:     18456 |      20012 |                 defusedxml.ElementTree
import time:     49685 |      49685 |                 PIL._imaging
import time:     24834 |     303183 |               PIL.Image
import time:     20449 |      20449 |                 PIL.ImageChops
import time:     27266 |      27266 |                 PIL.ImageFile
import time:     22891 |      22891 |                   PIL.GimpGradientFile
import time:     17174 |      17174 |                   PIL.GimpPaletteFile
import time:     19058 |      19058 |                   PIL.ImageColor
import time:     18447 |      18447 |                   PIL.PaletteFile
import time:     21037 |      98604 |                 PIL.ImagePalette
import time:     18464 |      18464 |                 PIL.ImageSequence
import time:     21670 |     186452 |               PIL.PngImagePlugin
import time:     19900 |      19900 |               matplotlib._cm
import time:      8697 |       8697 |                     matplotlib._path
import time:     21766 |      21766 |                       matplotlib.bezier
import time:     20871 |      42637 |                     matplotlib.path
import time:     17092 |      68426 |                   matplotlib.transforms
import time:     19449 |      87874 |                 matplotlib.ticker
import time:     18383 |     106257 |               matplotlib.scale
import time:     10993 |      10993 |               matplotlib._image
import time:     17757 |      17757 |               matplotlib._color_data
import time:     24765 |     720152 |             matplotlib.colors
import time:     17863 |      17863 |                 pyparsing.util
import time:     26551 |      26551 |                   pyparsing.unicode
import time:     17913 |      44463 |                 pyparsing.exceptions
import time:     19254 |      19254 |                   pyparsing.results
import time:     17219 |      36472 |                 pyparsing.actions
import time:     72687 |      72687 |                 pyparsing.core
import time:     21762 |      21762 |                 pyparsing.helpers
import time:     20220 |      20220 |                 pyparsing.testing
import time:     23144 |      23144 |                 pyparsing.common
import time:     29921 |     266529 |               pyparsing
import time:     17676 |     284205 |             matplotlib._fontconfig_pattern
import time:     24282 |      24282 |             matplotlib._enums
import time:     25209 |      25209 |             cycler
import time:     17653 |    1130680 |           matplotlib.rcsetup
import time:     12701 |      12701 |           matplotlib.ft2font
import time:     22249 |      22249 |             kiwisolver.exceptions
import time:     12195 |      34443 |           kiwisolver._cext
import time:     23669 |      23669 |               matplotlib.artist
import time:     18935 |      42603 |             matplotlib.colorizer
import time:     23925 |      23925 |             matplotlib._cm_listed
import time:     24107 |      24107 |             matplotlib._cm_multivar
import time:     16403 |      16403 |             matplotlib._cm_bivar
import time:     22758 |     129795 |           matplotlib.cm
import time:     87560 |    1596075 |         matplotlib
import time:     19957 |      19957 |         matplotlib._blocking_input
import time:     18140 |      18140 |             matplotlib._pylab_helpers
import time:     22840 |      40980 |           matplotlib.backend_tools
import time:       892 |        892 |               plistlib
import time:     18232 |      18232 |                 matplotlib._mathtext_data
import time:     18834 |      37066 |               matplotlib._afm
import time:     29497 |      67454 |             matplotlib.font_manager
import time:     17292 |      17292 |               matplotlib.hatch
import time:     21008 |      21008 |                 matplotlib.markers
import time:     27599 |      48607 |               matplotlib.lines
import time:     40164 |     106062 |             matplotlib.patches
import time:     20041 |      20041 |               matplotlib._text_helpers
import time:     22307 |      22307 |               matplotlib.dviread
import time:     24178 |      24178 |                 matplotlib._mathtext
import time:     20482 |      44660 |               matplotlib.mathtext
import time:     18752 |      18752 |               matplotlib.texmanager
import time:     20011 |     125770 |             matplotlib.textpath
import time:     26102 |     325386 |           matplotlib.text
import time:     21186 |      21186 |           matplotlib._tight_bbox
import time:     39978 |      39978 |             matplotlib.collections
import time:     20675 |      60652 |           matplotlib.widgets
import time:     23281 |      23281 |           matplotlib.backend_managers
import time:     16658 |      16658 |               matplotlib._layoutgrid
import time:     17390 |      34047 |             matplotlib._constrained_layout
import time:     18775 |      18775 |             matplotlib._tight_layout
import time:     19671 |      72492 |           matplotlib.layout_engine
import time:     22118 |     566092 |         matplotlib.backend_bases
import time:     24401 |      24401 |                 matplotlib.image
import time:     24507 |      48907 |               matplotlib.offsetbox
import time:     19969 |      19969 |                 matplotlib.units
import time:     29540 |      49508 |               matplotlib.axis
import time:     19342 |      19342 |               matplotlib.gridspec
import time:     20090 |      20090 |               matplotlib.spines
import time:     20967 |      20967 |               matplotlib.table
import time:     25285 |     184098 |             matplotlib.axes._base
import time:     18379 |      18379 |               matplotlib.category
import time:     32539 |      32539 |               matplotlib.contour
import time:     21263 |      21263 |                 dateutil.rrule
import time:     23653 |      44915 |               matplotlib.dates
import time:     26943 |      26943 |               matplotlib.inset
import time:     21186 |      21186 |                 matplotlib.container
import time:     17491 |      17491 |                 matplotlib.legend_handler
import time:     21063 |      59740 |               matplotlib.legend
import time:     20220 |      20220 |               matplotlib.mlab
import time:     26674 |      26674 |               matplotlib.quiver
import time:     17284 |      17284 |               matplotlib.stackplot
import time:     21019 |      21019 |               matplotlib.streamplot
import time:     20076 |      20076 |                 matplotlib.tri._triangulation
import time:     17352 |      17352 |                 matplotlib.tri._tricontour
import time:     19880 |      19880 |                 matplotlib.tri._trifinder
import time:     36108 |      36108 |                   matplotlib.tri._tritools
import time:     21250 |      57358 |                 matplotlib.tri._triinterpolate
import time:     20490 |      20490 |                 matplotlib.tri._tripcolor
import time:     19875 |      19875 |                 matplotlib.tri._triplot
import time:     16952 |      16952 |                 matplotlib.tri._trirefine
import time:     24248 |     196228 |               matplotlib.tri
import time:     19793 |      19793 |               matplotlib.axes._secondary_axes
import time:     34020 |     517749 |             matplotlib.axes._axes
import time:     25827 |     727673 |           matplotlib.axes
import time:     31335 |      31335 |           matplotlib.projections.geo
import time:     24435 |      24435 |           matplotlib.projections.polar
import time:      2150 |       2150 |             mpl_toolkits
import time:     20024 |      20024 |                 mpl_toolkits.mplot3d.proj3d
import time:     31855 |      51879 |               mpl_toolkits.mplot3d.art3d
import time:     22091 |      22091 |               mpl_toolkits.mplot3d.axis3d
import time:     29290 |     103258 |             mpl_toolkits.mplot3d.axes3d
import time:     33217 |     138624 |           mpl_toolkits.mplot3d
import time:     23621 |     945687 |         matplotlib.projections
import time:     22418 |      22418 |         matplotlib.colorbar
import time:     21985 |    3172211 |       matplotlib.figure
import time:     25689 |      25689 |         endo_pipeline.manifests.dataframe_manifest
import time:     22671 |      22671 |         endo_pipeline.manifests.dataframe_manifest_io
import time:     22038 |      22038 |         endo_pipeline.manifests.dataframe_manifest_utils
import time:     22245 |      22245 |         endo_pipeline.manifests.image_manifest
import time:     18850 |      18850 |         endo_pipeline.manifests.image_manifest_io
import time:     20075 |      20075 |         endo_pipeline.manifests.image_manifest_utils
import time:     18581 |      18581 |         endo_pipeline.manifests.model_manifest
import time:     18078 |      18078 |         endo_pipeline.manifests.model_manifest_io
import time:     24228 |      24228 |         endo_pipeline.manifests.model_manifest_utils
import time:     19853 |     212303 |       endo_pipeline.manifests
import time:     18663 |      18663 |       endo_pipeline.settings.figures
import time:     19039 |    4744045 |     endo_pipeline.io.output
import time:     22619 |   11789395 |   endo_pipeline.io.input
import time:     17505 |      17505 |   endo_pipeline.io.log_funcs
import time:     25157 |   11832056 | endo_pipeline.io
import time:     20646 |      20646 |     endo_pipeline.library
import time:     29761 |      50406 |   endo_pipeline.library.analyze
import time:     21109 |      21109 |       sklearn._config
import time:     12777 |      12777 |         sklearn.__check_build._check_build
import time:     30354 |      43130 |       sklearn.__check_build
import time:     22929 |      22929 |       sklearn._distributor_init
import time:     21811 |      21811 |         sklearn.exceptions
import time:     20385 |      20385 |                   joblib.hashing
import time:       352 |        352 |                           multiprocessing.process
import time:       261 |        261 |                           multiprocessing.reduction
import time:       559 |       1170 |                         multiprocessing.context
import time:       312 |       1482 |                       multiprocessing
import time:       266 |        266 |                       multiprocessing.util
import time:     19492 |      21240 |                     joblib.backports
import time:     19813 |      19813 |                     joblib.disk
import time:     20673 |      20673 |                     joblib.logger
import time:        93 |         93 |                         lz4
import time:     22321 |      22414 |                       joblib.compressor
import time:     22859 |      22859 |                       joblib.numpy_pickle_utils
import time:     20283 |      20283 |                       joblib.numpy_pickle_compat
import time:     28846 |      94400 |                     joblib.numpy_pickle
import time:     20026 |     176148 |                   joblib._store_backends
import time:     18622 |      18622 |                   joblib.func_inspect
import time:     20943 |     236097 |                 joblib.memory
import time:        97 |         97 |                     _multiprocessing
import time:     22519 |      22616 |                   joblib._multiprocessing_helpers
import time:     27963 |      27963 |                           joblib.externals
import time:     25317 |      25317 |                           joblib.externals.loky._base
import time:       465 |        465 |                               multiprocessing.synchronize
import time:     22603 |      22603 |                                 joblib.externals.loky.backend.process
import time:        84 |         84 |                                     _winapi
import time:       455 |        538 |                                   multiprocessing.connection
import time:       261 |        261 |                                   multiprocessing.queues
import time:       404 |       1203 |                                 concurrent.futures.process
import time:     24347 |      48152 |                               joblib.externals.loky.backend.context
import time:     20899 |      69515 |                             joblib.externals.loky.backend
import time:        24 |      69538 |                           joblib.externals.loky.backend.context
import time:     19673 |      19673 |                             joblib.externals.loky.backend._posix_reduction
import time:     24269 |      24269 |                               joblib.externals.cloudpickle.cloudpickle
import time:     23167 |      47436 |                             joblib.externals.cloudpickle
import time:     22916 |      90024 |                           joblib.externals.loky.backend.reduction
import time:     21916 |      21916 |                               joblib.externals.loky.backend.queues
import time:     21538 |      21538 |                                   psutil._common
import time:       137 |        137 |                                     resource
import time:     18551 |      18551 |                                     psutil._psposix
import time:      9694 |       9694 |                                     psutil._psutil_linux
import time:     12317 |      12317 |                                     psutil._psutil_posix
import time:     21814 |      62511 |                                   psutil._pslinux
import time:     25891 |     109939 |                                 psutil
import time:     19548 |     129486 |                               joblib.externals.loky.backend.utils
import time:     22259 |      22259 |                               joblib.externals.loky.initializers
import time:     22531 |     196190 |                             joblib.externals.loky.process_executor
import time:     20451 |     216641 |                           joblib.externals.loky.reusable_executor
import time:     20852 |      20852 |                           joblib.externals.loky.cloudpickle_wrapper
import time:     28452 |     478783 |                         joblib.externals.loky
import time:        25 |     478808 |                       joblib.externals.loky.process_executor
import time:     19949 |     498756 |                     joblib._utils
import time:       113 |        113 |                             runpy
import time:     19202 |      19315 |                           joblib.externals.loky.backend.spawn
import time:     34601 |      53915 |                         joblib.externals.loky.backend.resource_tracker
import time:     24506 |      78421 |                       joblib._memmapping_reducer
import time:       573 |        573 |                       multiprocessing.pool
import time:     37626 |     116619 |                     joblib.pool
import time:     21203 |      21203 |                     joblib.executor
import time:     21449 |     658025 |                   joblib._parallel_backends
import time:     20654 |     701295 |                 joblib.parallel
import time:     19896 |      19896 |                 joblib._cloudpickle_wrapper
import time:     28450 |     985736 |               joblib
import time:     22422 |    1008157 |             sklearn.utils._joblib
import time:     19398 |      19398 |                 sklearn.utils._bunch
import time:     21447 |      40845 |               sklearn.utils._metadata_requests
import time:     31707 |      72551 |             sklearn.utils.metadata_routing
import time:     20902 |      20902 |                     scipy.__config__
import time:     18995 |      18995 |                     scipy.version
import time:        47 |         47 |                       scipy._distributor_init_local
import time:     16510 |      16556 |                     scipy._distributor_init
import time:     18778 |      18778 |                       scipy._lib._testutils
import time:     25141 |      43919 |                     scipy._lib
import time:     19271 |      19271 |                     scipy._lib._pep440
import time:     10395 |      10395 |                       scipy._lib._ccallback_c
import time:     17511 |      27905 |                     scipy._lib._ccallback
import time:     33647 |     181191 |                   scipy
import time:     19228 |      19228 |                             scipy._lib.array_api_compat.common._helpers
import time:     25634 |      44862 |                           scipy._lib.array_api_compat.common
import time:     27986 |      72847 |                         scipy._lib.array_api_compat
import time:     16121 |      16121 |                             scipy._lib.array_api_compat.common._aliases
import time:     17840 |      17840 |                             scipy._lib.array_api_compat._internal
import time:     21293 |      55253 |                           scipy._lib.array_api_compat.numpy._aliases
import time:     29345 |      29345 |                             scipy._lib.array_api_compat.common._linalg
import time:     20438 |      49782 |                           scipy._lib.array_api_compat.numpy.linalg
import time:     26501 |     131535 |                         scipy._lib.array_api_compat.numpy
import time:     19809 |     224190 |                       scipy._lib._array_api
import time:     23679 |     247868 |                     scipy._lib._util
import time:     20620 |      20620 |                     scipy.sparse._sputils
import time:     15871 |      15871 |                     scipy.sparse._matrix
import time:     22937 |     307294 |                   scipy.sparse._base
import time:     11283 |      11283 |                     scipy.sparse._sparsetools
import time:     27465 |      27465 |                       scipy.sparse._data
import time:     22457 |      22457 |                       scipy.sparse._index
import time:     22894 |      72815 |                     scipy.sparse._compressed
import time:     18445 |     102541 |                   scipy.sparse._csr
import time:     20731 |      20731 |                   scipy.sparse._csc
import time:     12139 |      12139 |                     scipy.sparse._csparsetools
import time:     27614 |      39753 |                   scipy.sparse._lil
import time:     18764 |      18764 |                   scipy.sparse._dok
import time:     19892 |      19892 |                   scipy.sparse._coo
import time:     20610 |      20610 |                   scipy.sparse._dia
import time:     20104 |      20104 |                   scipy.sparse._bsr
import time:     17095 |      17095 |                   scipy.sparse._construct
import time:     18132 |      18132 |                   scipy.sparse._extract
import time:     17851 |      17851 |                   scipy.sparse._matrix_io
import time:     27417 |      27417 |                             scipy.sparse.linalg._interface
import time:     26271 |      26271 |                             scipy.sparse.linalg._isolve.utils
import time:     25083 |      25083 |                                   scipy.linalg._fblas
import time:        55 |         55 |                                   scipy.linalg._cblas
import time:        42 |         42 |                                   scipy.linalg._fblas_64
import time:     28790 |      53968 |                                 scipy.linalg.blas
import time:     13153 |      13153 |                                   scipy.linalg._flapack
import time:        91 |         91 |                                   scipy.linalg._clapack
import time:        42 |         42 |                                   scipy.linalg._flapack_64
import time:     23822 |      37106 |                                 scipy.linalg.lapack
import time:     21108 |     112181 |                               scipy.linalg._misc
import time:     13589 |      13589 |                                 scipy.linalg.cython_lapack
import time:      9454 |      23042 |                               scipy.linalg._cythonized_array_utils
